model,forecast_years,rmse,mae,mape_percent,r2
Trend only,12,165.29206173729352,136.9496481188523,5.518814235732022,-1.8345385547320623
Trend + temperature,12,166.50490129684206,124.00346139452272,4.991994847434494,-1.8762883293729784
Trend + water,12,153.39596319076134,128.69232556903236,5.174256814131375,-1.4412161616876187
Trend + extreme stress,12,147.43341796864388,127.61099312593733,5.14288000192481,-1.2551230442820578
Trend + complete weather,12,143.20466868123492,110.42687793082409,4.442920499302574,-1.127613457493018
