year,sown_area_1000_ha,production_10k_t,apparent_yield_t_ha,area_change_1000_ha,yield_change_t_ha,production_change_10k_t,area_effect_10k_t,yield_effect_10k_t,decomposition_error_10k_t
2017,284.2,2507.71,88.2375087966221,,,,,,
2018,288.4,2558.86,88.72607489597782,4.199999999999989,0.48856609935572237,51.15000000000009,37.16235257544588,13.98764742455433,-1.1901590823981678e-13
2019,289.3,2619.56,90.5482198409955,0.9000000000000341,1.8221449450176834,60.69999999999982,8.067343263164107,52.63265673683579,-7.815970093361102e-14
2020,285.4,2573.16,90.15977575332866,-3.900000000000034,-0.3884440876668407,-46.40000000000009,-35.23805914089352,-11.161940859106668,9.592326932761353e-14
2021,274.6,2614.16,95.19883466860887,-10.799999999999955,5.039058915280208,41.0,-100.09364962784585,141.09364962784582,2.842170943040401e-14
2022,272.8,2537.95,93.033357771261,-1.8000000000000114,-2.1654768973478724,-76.21000000000004,-16.940897319588395,-59.26910268041128,-3.623767952376511e-13
2023,274.1,2564.15,93.54797519153593,1.3000000000000114,0.5146174202749307,26.200000000000273,12.127786642581906,14.072213357417983,3.836930773104541e-13
2024,275.8,2404.71,87.19035532994923,1.6999999999999886,-6.357619861586699,-159.44000000000005,15.362758094326136,-174.8027580943263,1.1368683772161603e-13
