model,forecast_years,rmse,mae,mape_percent,r2
Yield persistence,4,4.20611359625202,3.5191932736224274,3.8656486123042177,-0.9338129065094145
Yield trend only,4,4.536685688775121,3.6437274743568366,4.0294976146322155,-1.2497271113343382
Yield trend + weather,4,4.927370894911128,3.994389514068647,4.422242087635018,-1.6538902984510448
