date,tmean_c,tmax_c,tmin_c,dtr_c,relative_humidity_pct,soil_moisture_0_7cm_m3m3,gdd_base10,heat_day_tmax_ge35,cold_day_tmin_lt13,available_grid_count
2005-01-01,7.171428571428572,11.200000000000001,4.0285714285714285,7.171428571428573,44.714285714285715,0.30028571428571427,0,0,1,7
2005-01-02,8.1,13.242857142857144,3.9142857142857146,9.32857142857143,50.57142857142857,0.2894285714285714,0,0,1,7
2005-01-03,10.014285714285714,12.814285714285715,6.442857142857143,6.371428571428572,71.14285714285714,0.2837142857142857,0.014285714285714235,0,1,7
2005-01-04,12.071428571428571,15.885714285714286,8.528571428571428,7.357142857142858,65.14285714285714,0.27999999999999997,2.071428571428571,0,1,7
2005-01-05,12.242857142857144,13.957142857142857,10.942857142857141,3.014285714285716,73.85714285714286,0.27614285714285713,2.2428571428571438,0,1,7
2005-01-06,13.257142857142856,17.2,10.299999999999999,6.9,75.0,0.2737142857142857,3.2571428571428562,0,1,7
2005-01-07,13.942857142857141,16.385714285714283,11.342857142857143,5.042857142857139,85.42857142857143,0.2745714285714286,3.9428571428571413,0,1,7
2005-01-08,13.528571428571428,15.014285714285714,11.185714285714285,3.828571428571429,84.28571428571429,0.282,3.5285714285714285,0,1,7
2005-01-09,10.442857142857145,13.12857142857143,8.485714285714286,4.642857142857144,73.0,0.279,0.44285714285714484,0,1,7
2005-01-10,9.071428571428571,11.028571428571428,7.614285714285714,3.4142857142857146,72.71428571428571,0.2762857142857143,0,0,1,7
2005-01-11,8.528571428571428,9.62857142857143,7.757142857142857,1.8714285714285728,86.71428571428571,0.29314285714285715,0,0,1,7
2005-01-12,6.914285714285714,8.114285714285716,6.128571428571428,1.9857142857142875,90.71428571428571,0.33428571428571424,0,0,1,7
2005-01-13,6.971428571428571,9.299999999999999,5.2,4.099999999999999,75.0,0.34814285714285714,0,0,1,7
2005-01-14,8.657142857142857,11.214285714285714,6.7,4.514285714285713,53.714285714285715,0.33185714285714285,0,0,1,7
2005-01-15,9.685714285714285,14.185714285714285,5.471428571428571,8.714285714285715,57.714285714285715,0.31871428571428567,0,0,1,7
2005-01-16,10.814285714285715,15.87142857142857,6.542857142857143,9.328571428571427,58.142857142857146,0.3068571428571429,0.814285714285715,0,1,7
2005-01-17,12.87142857142857,18.771428571428572,7.7,11.071428571428573,62.142857142857146,0.2965714285714286,2.87142857142857,0,1,7
2005-01-18,13.971428571428572,17.17142857142857,10.114285714285714,7.057142857142857,86.42857142857143,0.2938571428571429,3.9714285714285715,0,1,7
2005-01-19,13.285714285714286,15.157142857142858,11.814285714285715,3.3428571428571434,92.0,0.30842857142857144,3.2857142857142865,0,1,7
